external_id,building_code,name,latitude,longitude,status,country,type,serial_number,serial_numbers
Afghanistan_AFGBAMOFU01_FU Bamyan 01,AFGBAMOFU01,FU Bamyan 01,34.815055,67.831365,Active,Afghanistan,office,009-80849,009-80849
Afghanistan_AFGGRDOFO01_FO Gardez 01,AFGGRDOFO01,FO Gardez 01,33.599847,69.216024,Active,Afghanistan,office,009-80E18,009-80E18
Afghanistan_AFGHEROFO01_FO Herat 01,AFGHEROFO01,FO Herat 01,34.34551,62.22412,Active,Afghanistan,office,009-80845,009-80845
Afghanistan_AFGJALOSO01_SO Jalalabad 01,AFGJALOSO01,SO Jalalabad 01,34.43507,70.438659,Active,Afghanistan,office,009-80E29,"009-8087B,009-8087C,009-80DCD,009-80E1F,009-80E29,009-80E2A"
Afghanistan_AFGKABGGH01_GH Kabul 01,AFGKABGGH01,GH Kabul 01,34.551667,69.232139,Active,Afghanistan,guest house,009-80892,009-80892
Afghanistan_AFGKABOCO01_CO Kabul 01,AFGKABOCO01,CO Kabul 01,34.551667,69.232139,Active,Afghanistan,office,009-80891,"009-80890,009-80891"
Afghanistan_AFGKANGGH01_GH Kandahar 01,AFGKANGGH01,GH Kandahar 01,31.61959,65.68341,Open,Afghanistan,guest house,009-80890,"009-80890,009-80891"
Afghanistan_AFGKANOSO01_SO Kandahar 01,AFGKANOSO01,SO Kandahar 01,31.61931,65.68305,Active,Afghanistan,office,009-80DAA,"009-80848,009-80DAA"
Afghanistan_AFGKUNOFU01_FU Kunduz 01,AFGKUNOFU01,FU Kunduz 01,36.73249,68.87118,Active,Afghanistan,office,009-80981,009-80981
Afghanistan_AFGMAZOSO01_SO Mazar i Sharif 01,AFGMAZOSO01,SO Mazar i Sharif 01,36.69793,67.10373,Active,Afghanistan,office,009-80893,"009-80893,009-80894"
Albania_ALBGJROFU01_FU Gjirokastra 01,ALBGJROFU01,FU Gjirokastra 01,40.083497,20.142355,Open,Albania,office,009-80757,009-80757
Albania_ALBKOCOFU01_FU Korca 01,ALBKOCOFU01,FU Korca 01,40.622504,20.782155,Open,Albania,office,009-80757,009-80757
Albania_ALBTIROCO01_CO Tirana 01,ALBTIROCO01,CO Tirana 01,41.327538,19.808572,Open,Albania,office,009-80757,009-80757
Algeria_DZAALGOCO01_CO Algiers 01,DZAALGOCO01,CO Algiers 01,36.760475,3.034483,Active,Algeria,office,009-80A69,009-80A69
Algeria_DZARABOFU01_FU Rabouni 01,DZARABOFU01,FU Rabouni 01,27.480264,-8.085898,Active,Algeria,office,009-80A67,009-80A67
Algeria_DZATINOFO01_FO Tindouf 01,DZATINOFO01,FO Tindouf 01,27.666303,-8.143616,Active,Algeria,office,009-80A68,009-80A68
Algeria_DZATINOSO01_SO Tindouf 01,DZATINOSO01,SO Tindouf 01,27.667828,-8.149159,Active,Algeria,office,009-80A66,009-80A66
Angola_AGODUNOFO01_FO Dundo 01,AGODUNOFO01,FO Dundo 01,-7.354621,20.810151,Active,Angola,office,009-80741,009-80741
Angola_AGOLUAOCO01_CO Luanda 01,AGOLUAOCO01,CO Luanda 01,-8.86124,13.20504,Active,Angola,office,009-80757,009-80757
Argentina_ARGBUEOMC01_MC Buenos Aires 01,ARGBUEOMC01,MC Buenos Aires 01,-34.59868,-58.38261,Active,Argentina,office,009-8086F,009-8086F
Aruba_ABWORAONO01_NO Oranjestad 01,ABWORAONO01,NO Oranjestad 01,12.5311,-70.03225,Open,Aruba,office,,
Australia_AUSCNBOMC01_MC Canberra 01,AUSCNBOMC01,MC Canberra 01,-35.2848,149.1243,Active,Australia,office,009-80DC6,009-80DC6
Austria_AUTVIEONO01_NO Vienna 01,AUTVIEONO01,NO Vienna 01,48.23337,16.4186,Open,Austria,office,009-80DC6,009-80DC6
Azerbaijan_AZEBAKOCO01_CO Baku 01,AZEBAKOCO01,CO Baku 01,40.41066,49.87222,Open,Azerbaijan,office,009-80DC6,009-80DC6
Bahamas_BHSNASOFO01_FO Nassau 01,BHSNASOFO01,FO Nassau 01,25.0739,-77.32629,Open,Bahamas,office,009-809AE,009-809AE
Bangladesh_BGDCOXOSO01_SO Coxs Bazar 01,BGDCOXOSO01,SO Coxs Bazar 01,21.43354,91.97349,Active,Bangladesh,office,009-8092D,"009-8092D,009-80B1A,009-80B27"
Bangladesh_BGDCOXOSO02_SO Coxs Bazar 02,BGDCOXOSO02,SO Coxs Bazar 02,21.214253,92.16383,Open,Bangladesh,office,009-8092D,"009-8092D,009-80B1A,009-80B27"
Bangladesh_BGDDHAOCO01_CO Dhaka 01,BGDDHAOCO01,CO Dhaka 01,23.79662,90.41667,Active,Bangladesh,office,009-8092C,"009-808D8,009-808D9,009-8092C"
Belarus_BLRMINOCO01_CO Minsk 01,BLRMINOCO01,CO Minsk 01,53.895903,27.569992,Active,Belarus,office,009-8089F,009-8089F
Belgium_BELBRUOMC01_MC Brussels 01,BELBRUOMC01,MC Brussels 01,50.82393,4.367,Active,Belgium,office,009-808F6,009-808F6
Belize_BLZBLOONO01_NO Belmopan 01,BLZBLOONO01,NO Belmopan 01,17.166821,-88.919727,Active,Belize,office,009-80DDF,009-80DDF
Bosnia and Herzegovina_BIHBHCOFU01_FU Bihac 01,BIHBHCOFU01,FU Bihac 01,44.811326,15.872439,Open,Bosnia and Herzegovina,office,009-809AE,009-809AE
Bosnia and Herzegovina_BIHSAROCO01_CO Sarajevo 01,BIHSAROCO01,CO Sarajevo 01,43.857367,18.406742,Active,Bosnia and Herzegovina,office,009-80B64,"009-808B6,009-80B64"
Bosnia and Herzegovina_BIHTUZOFU01_FU Tuzla 01,BIHTUZOFU01,FU Tuzla 01,44.533673,18.644855,Open,Bosnia and Herzegovina,office,009-808B6,"009-808B6,009-80B64"
Botswana_BWADUKOFO01_FO Dukwi 01,BWADUKOFO01,FO Dukwi 01,-20.5875,26.534166,Active,Botswana,office,009-80866,009-80866
Brazil_BRABLMOFU01_FU Belem 01,BRABLMOFU01,FU Belem 01,-1.452063,-48.485312,Open,Brazil,office,009-80DDF,009-80DDF
Brazil_BRABOAOSO01_SO Boa Vista 01,BRABOAOSO01,SO Boa Vista 01,2.82357,-60.69417,Active,Brazil,office,009-80923,009-80923
Brazil_BRABRSOCO01_CO Brasilia 01,BRABRSOCO01,CO Brasilia 01,-15.786723,-47.889001,Active,Brazil,office,009-807B5,009-807B5
Brazil_BRAMANOFU01_FO Manaus 01,BRAMANOFU01,FO Manaus 01,-3.106882,-60.006077,Active,Brazil,office,009-8098D,009-8098D
Brazil_BRAPACOFU01_FU Pacaraima 01,BRAPACOFU01,FU Pacaraima 01,4.47653,61.14657,Active,Brazil,office,009-80935,009-80935
Brazil_BRASPAOFO01_FO Sao Paulo 01,BRASPAOFO01,FO Sao Paulo 01,-23.57286,-46.690109,Open,Brazil,office,009-80935,009-80935
Bulgaria_BGRSOFOCO01_CO Sofia 01,BGRSOFOCO01,CO Sofia 01,42.696202,23.317399,Active,Bulgaria,office,009-809AE,009-809AE
Burkina Faso_BFABOBOFO01_FO Bobo-Dioulasso 01,BFABOBOFO01,FO Bobo-Dioulasso 01,11.172137,-4.279346,Open,Burkina Faso,office,009-808F6,009-808F6
Burkina Faso_BFADIBOFU01_FU Djibo 01,BFADIBOFU01,FU Djibo 01,14.09257,-1.628494,Open,Burkina Faso,office,009-808F6,009-808F6
Burkina Faso_BFADOROSO01_SO Dori 01,BFADOROSO01,SO Dori 01,14.036229,-0.023705,Active,Burkina Faso,office,009-80DDC,009-80DDC
Burkina Faso_BFAFGMOFO01_FO Fada N’Gourma 01,BFAFGMOFO01,FO Fada N’Gourma 01,12.065445,0.37598,Active,Burkina Faso,office,009-80DB9,009-80DB9
Burkina Faso_BFAFGMOFO01_FO Fada N�Gourma 01,BFAFGMOFO01,FO Fada N�Gourma 01,12.065445,0.37598,Open,Burkina Faso,office,009-80DB9,009-80DB9
Burkina Faso_BFAKAYOSO01_SO Kaya 01,BFAKAYOSO01,SO Kaya 01,13.08101,-1.85915,Active,Burkina Faso,office,009-80DBA,009-80DBA
Burkina Faso_BFAOUAONO01_NO Ouagadougou 01,BFAOUAONO01,NO Ouagadougou 01,12.366062,-1.544062,Active,Burkina Faso,office,009-8083E,009-8083E
Burkina Faso_BFAOUGOFO01_FO Ouahigouya 01,BFAOUGOFO01,FO Ouahigouya 01,13.564941,-2.414834,Active,Burkina Faso,office,009-80DD0,009-80DD0
Burundi_BDIBUJOCO01_CO Bujumbura 01,BDIBUJOCO01,CO Bujumbura 01,-3.40901,29.34914,Active,Burundi,office,009-80846,009-80846
Burundi_BDIMAKOFO01_FO Makamba 01,BDIMAKOFO01,FO Makamba 01,-4.133462,29.802247,Active,Burundi,office,009-80B86,009-80B86
Burundi_BDIMUYOFO01_FO Muyinga 01,BDIMUYOFO01,FO Muyinga 01,-2.843313,30.346226,Active,Burundi,office,009-80DC5,009-80DC5
Burundi_BDIRUYOSO01_SO Ruyigi 01,BDIRUYOSO01,SO Ruyigi 01,-3.475366504,30.24641204,Active,Burundi,office,009-80DEC,009-80DEC
Cameroon_CMRBAEOSO01_SO Bamenda 01,CMRBAEOSO01,SO Bamenda 01,5.949427,10.170229,Active,Cameroon,office,009-80A14,009-80A14
Cameroon_CMRBATOFU01_FU Batouri 01,CMRBATOFU01,FU Batouri 01,4.42726,14.35891,Active,Cameroon,office,009-80A0C,009-80A0C
Cameroon_CMRBEAOFO01_FO Buea 01,CMRBEAOFO01,FO Buea 01,4.15295,9.23158,Active,Cameroon,office,009-80A13,009-80A13
Cameroon_CMRBTUOSO01_SO Bertoua 01,CMRBTUOSO01,SO Bertoua 01,4.573045,13.66852,Active,Cameroon,office,009-80A0A,009-80A0A
Cameroon_CMRDJOOFU01_FU Djohong 01,CMRDJOOFU01,FU Djohong 01,6.83708,14.68257,Active,Cameroon,office,009-809FD,009-809FD
Cameroon_CMRDOUOFO01_FO Douala 01,CMRDOUOFO01,FO Douala 01,4.021662,9.706865,Active,Cameroon,office,009-80A15,009-80A15
Cameroon_CMRKOUOFO01_FO Kousseri 01,CMRKOUOFO01,FO Kousseri 01,12.087646,15.033502,Active,Cameroon,office,009-80A0D,009-80A0D
Cameroon_CMRMEIOFO01_FO Meiganga 01,CMRMEIOFO01,FO Meiganga 01,6.52034,14.27904,Active,Cameroon,office,009-80A09,009-80A09
Cameroon_CMRMRUOSO01_SO Maroua 01,CMRMRUOSO01,SO Maroua 01,10.58746,14.31869,Active,Cameroon,office,009-80A0B,009-80A0B
Cameroon_CMRTOUOFU01_FU Touboro 01,CMRTOUOFU01,FU Touboro 01,6.51967,14.27951,Active,Cameroon,office,009-809FC,009-809FC
Cameroon_CMRYAOOMC01_MC Yaounde 01,CMRYAOOMC01,MC Yaounde 01,3.891501,11.506572,Active,Cameroon,office,009-80860,009-80860
Cameroon_CMRYAOOMC02_MC Yaounde 02,CMRYAOOMC02,MC Yaounde 02,3.884981,11.507416,Active,Cameroon,office,009-80A16,009-80A16
Canada_CANMTROFO01_FO Montreal 01,CANMTROFO01,FO Montreal 01,45.52899,-73.70293,Open,Canada,office,009-80B37,009-80B37
Canada_CANOTTOCO01_CO Ottawa 01,CANOTTOCO01,CO Ottawa 01,45.419187,-75.701563,Open,Canada,office,009-80B37,009-80B37
Canada_CANTOROSO01_SO Toronto 01,CANTOROSO01,SO Toronto 01,43.68828,-79.394521,Open,Canada,office,009-80B37,009-80B37
Central African Republic_CAFBEBOFO01_FO Berberati 01,CAFBEBOFO01,FO Berberati 01,4.260723,15.791245,Active,Central African Republic,office,009-80B2C,009-80B2C
Central African Republic_CAFBNGOCO01_CO Bangui 01,CAFBNGOCO01,CO Bangui 01,4.368076,18.553262,Active,Central African Republic,office,009-80889,009-80889
Central African Republic_CAFBOUOSO01_FO Bouar 01,CAFBOUOSO01,FO Bouar 01,5.93959,15.579975,Active,Central African Republic,office,009-80B34,009-80B34
Central African Republic_CAFBRIOFU01_FU Bria 01,CAFBRIOFU01,FU Bria 01,6.55093,21.95944,Open,Central African Republic,office,009-80B34,009-80B34
Central African Republic_CAFKAGOFO01_FO Kaga Bandoro 01,CAFKAGOFO01,FO Kaga Bandoro 01,7.006327,19.179549,Active,Central African Republic,office,009-80B36,009-80B36
Central African Republic_CAFMGBOFU01_FU Mongoumba 01,CAFMGBOFU01,FU Mongoumba 01,3.627778,18.594722,Active,Central African Republic,office,009-80B2A,009-80B2A
Central African Republic_CAFOBOOFU01_FU Obo 01,CAFOBOOFU01,FU Obo 01,5.400083,26.491389,Active,Central African Republic,office,009-80B37,009-80B37
Chad_TCDABEOFU01_,TCDABEOFU01,FU Abeche 01,13.64944,21.58398,Closed,Chad,office,,
Chad_TCDABEOSO01_SO Abeche 01,TCDABEOSO01,SO Abeche 01,13.823284,20.830414,Active,Chad,office,009-80B11,009-80B11
Chad_TCDABEOSO02_SO Abeche 02,TCDABEOSO02,SO Abeche 02,13.823321,20.830353,Open,Chad,office,,
Chad_TCDAM OFO01_FO Am Djarass 01,TCDAM OFO01,FO Am Djarass 01,16.07345,22.83398,Active,Chad,office,009-80914,009-80914
Chad_TCDBALOSO01_SO Baga Sola 01,TCDBALOSO01,SO Baga Sola 01,13.53228,14.32862,Active,Chad,office,009-80B8A,009-80B8A
Chad_TCDBOLOFU01_FU Bol 01,TCDBOLOFU01,FU Bol 01,13.46647,14.7168,Open,Chad,office,,
Chad_TCDFAROFO01_FO Farchana 01,TCDFAROFO01,FO Farchana 01,13.578282,21.825137,Active,Chad,office,009-80B89,009-80B89
Chad_TCDGOROSO01_SO Gore 01,TCDGOROSO01,SO Gore 01,7.934243,16.637053,Active,Chad,office,009-80850,009-80850
Chad_TCDGOZOFO01_FO Goz Beida 01,TCDGOZOFO01,FO Goz Beida 01,12.216719,21.41675,Active,Chad,office,009-80B6E,009-80B6E
Chad_TCDGUEOFO01_FO Guereda 01,TCDGUEOFO01,FO Guereda 01,15.454166,18.732207,Active,Chad,office,009-80B90,009-80B90
Chad_TCDHAROFO01_FO Haraze 01,TCDHAROFO01,FO Haraze 01,9.94899,20.90527,Active,Chad,office,009-80B96,009-80B96
Chad_TCDHHDOFO01_FO Hadjer Hadid 01,TCDHHDOFO01,FO Hadjer Hadid 01,13.64944,21.58398,Open,Chad,office,,
Chad_TCDIRIGGH01_GH Iriba 01,TCDIRIGGH01,GH Iriba 01,15.13017,22.246833,Open,Chad,guest house,,
Chad_TCDIRIOFO01_FO Iriba 01,TCDIRIOFO01,FO Iriba 01,15.12694,22.247823,Active,Chad,office,009-8084F,009-8084F
Chad_TCDMOIOFO01_FO Moissala 01,TCDMOIOFO01,FO Moissala 01,8.364449,17.76081,Active,Chad,office,009-80B91,009-80B91
Chad_TCDMROOFO01_FO Maro 01,TCDMROOFO01,FO Maro 01,9.30647,17.71647,Active,Chad,office,009-80B97,009-80B97
Chad_TCDNDJOCO01_CO NDjamena 01,TCDNDJOCO01,CO NDjamena 01,12.09686,15.06719,Active,Chad,office,009-80B6B,009-80B6B
Chile_CHLARIOFU01_FU Arica 01,CHLARIOFU01,FU Arica 01,-18.45532,-70.28118,Open,Chile,office,009-80742,"009-80742,009-80760"
Chile_CHLSNTOCO01_CO Santiago 01,CHLSNTOCO01,CO Santiago 01,-33.39879,-70.60098,Open,Chile,office,009-80742,"009-80742,009-80760"
China_CHNBEJOCO01_CO Beijing 01,CHNBEJOCO01,CO Beijing 01,39.56432,116.27053,Open,China,office,009-80742,"009-80742,009-80760"
Colombia_COLAPAOFO01_FO Apartado 01,COLAPAOFO01,FO Apartado 01,7.884832,-76.637044,Active,Colombia,office,009-80A3D,009-80A3D
Colombia_COLARAOFO01_FO Arauca 01,COLARAOFO01,FO Arauca 01,7.084744,-70.761512,Active,Colombia,office,009-80A51,009-80A51
Colombia_COLBCROFU01_FU Bucaramanga 01,COLBCROFU01,FU Bucaramanga 01,7.11817,-73.10824,Active,Colombia,office,009-80A31,009-80A31
Colombia_COLBNVOFU01_FU Buenaventura 01,COLBNVOFU01,FU Buenaventura 01,3.881676,-77.0165,Active,Colombia,office,009-80A34,009-80A34
Colombia_COLBOGOCO01_CO Bogota 01,COLBOGOCO01,CO Bogota 01,4.657012,-74.060564,Active,Colombia,office,009-80842,009-80842
Colombia_COLBOGOFO01_FO Bogota 01,COLBOGOFO01,FO Bogota 01,4.656685,-74.060654,Active,Colombia,office,009-80DD8,009-80DD8
Colombia_COLBRQOFO01_FO Barranquilla 01,COLBRQOFO01,FO Barranquilla 01,10.997962,-74.799269,Active,Colombia,office,009-80A48,"009-80A35,009-80A48"
Colombia_COLCALOSO01_SO Cali 01,COLCALOSO01,SO Cali 01,3.466222,76.529263,Active,Colombia,office,009-80841,009-80841
Colombia_COLCUCOSO01_SO Cucuta 01,COLCUCOSO01,SO Cucuta 01,7.88296,-72.49359,Active,Colombia,office,009-80843,009-80843
Colombia_COLIPIOFU01_FU Ipiales 01,COLIPIOFU01,FU Ipiales 01,0.82877,-77.649573,Active,Colombia,office,009-80A36,009-80A36
Colombia_COLMAIOFU01_FU Maicao 01,COLMAIOFU01,FU Maicao 01,11.38021,-72.24081,Active,Colombia,office,009-80A2D,009-80A2D
Colombia_COLMEDOSO01_SO Medellin 01,COLMEDOSO01,SO Medellin 01,6.209235,-75.573658,Active,Colombia,office,009-80A2F,009-80A2F
Colombia_COLMOCOFU01_FU Mocoa 01,COLMOCOFU01,FU Mocoa 01,1.15208,-76.6499,Active,Colombia,office,009-80A30,009-80A30
Colombia_COLMTEOFU01_FU Monteira 01,COLMTEOFU01,FU Monteira 01,8.748912,-75.877878,Open,Colombia,office,009-80A30,009-80A30
Colombia_COLPASOFO01_FO Pasto 01,COLPASOFO01,FO Pasto 01,1.22479,-77.28405,Active,Colombia,office,009-80A47,009-80A47
Colombia_COLPOPOFU01_FU Popayan 01,COLPOPOFU01,FU Popayan 01,2.4551,-76.59554,Active,Colombia,office,009-80DD9,009-80DD9
Colombia_COLPRROFU01_FU Pereira 01,COLPRROFU01,FU Pereira 01,4.812914,-75.694453,Open,Colombia,office,009-80DD9,009-80DD9
Colombia_COLQIBOFO01_FO Quibdo 01,COLQIBOFO01,FO Quibdo 01,5.686476,-76.661619,Active,Colombia,office,009-80A1C,009-80A1C
Colombia_COLRIOOSO01_SO Riohacha 01,COLRIOOSO01,SO Riohacha 01,11.55216,-72.90883,Active,Colombia,office,009-80A33,009-80A33
Costa Rica_CRICRNOFO01_FO Ciudad Neily 01,CRICRNOFO01,FO Ciudad Neily 01,40.455328,73.585088,Active,Costa Rica,office,009-80DDE,009-80DDE
Costa Rica_CRIJOSOCO01_CO San Jose 01,CRIJOSOCO01,CO San Jose 01,9.942014,-84.115056,Active,Costa Rica,office,009-80786,009-80786
Costa Rica_CRIJOSOCO02_CO San Jose 02,CRIJOSOCO02,CO San Jose 02,9.929566,-84.098676,Open,Costa Rica,office,009-80786,009-80786
Costa Rica_CRIJOSOFU01_FU San Jose 01,CRIJOSOFU01,FU San Jose 01,9.941286,-84.113823,Active,Costa Rica,office,009-80780,009-80780
Costa Rica_CRIUPAOFO01_FO Upala 01,CRIUPAOFO01,FO Upala 01,10.899269,-85.017656,Active,Costa Rica,office,009-80787,009-80787
Croatia_HRVZAGOCO01_CO Zagreb 01,HRVZAGOCO01,CO Zagreb 01,45.81028,16.00158,Active,Croatia,office,009-80861,009-80861
Cuba_CUBHAVOFU01_FU Havana 01,CUBHAVOFU01,FU Havana 01,23.125641,-82.422011,Open,Cuba,office,009-80787,009-80787
Cyprus_CYPNICOCO01_CO Nicosia 01,CYPNICOCO01,CO Nicosia 01,35.16317,33.34821,Active,Cyprus,office,009-8089B,009-8089B
Democratic Republic of the Congo_CODARUOSO01_SO Aru 01,CODARUOSO01,SO Aru 01,2.862412,30.840732,Active,Democratic Republic of the Congo,office,009-808DC,009-808DC
Democratic Republic of the Congo_CODBARGGH01_GH Baraka 01,CODBARGGH01,GH Baraka 01,-4.1011111,29.09583333,Active,Democratic Republic of the Congo,guest house,009-80DBB,009-80DBB
Democratic Republic of the Congo_CODBAROFO01_FO Baraka 01,CODBAROFO01,FO Baraka 01,-4.101111,29.095833,Active,Democratic Republic of the Congo,office,009-80E08,009-80E08
Democratic Republic of the Congo_CODBENOFO01_FO Beni 01,CODBENOFO01,FO Beni 01,-0.980607,28.653062,Active,Democratic Republic of the Congo,office,009-80E0B,009-80E0B
Democratic Republic of the Congo_CODBILOFO01_FO Bili 01,CODBILOFO01,FO Bili 01,4.5637528,19.93054167,Active,Democratic Republic of the Congo,office,009-80953,009-80953
Democratic Republic of the Congo_CODBUKOFO01_FO Bukavu 01,CODBUKOFO01,FO Bukavu 01,-2.498563,28.887062,Active,Democratic Republic of the Congo,office,009-808DD,009-808DD
Democratic Republic of the Congo_CODBUKOFO02_FO Bukavu 02,CODBUKOFO02,FO Bukavu 02,-2.498299,28.887277,Closed,Democratic Republic of the Congo,office,009-808DD,009-808DD
Democratic Republic of the Congo_CODBUKOFO03_FO Bukavu 03,CODBUKOFO03,FO Bukavu 03,-2.49507,28.879406,Open,Democratic Republic of the Congo,office,009-808DD,009-808DD
Democratic Republic of the Congo_CODBUNOFO01_FO Bunia 01,CODBUNOFO01,FO Bunia 01,1.550591,30.243816,Active,Democratic Republic of the Congo,office,009-80E11,"009-80954,009-80E11"
Democratic Republic of the Congo_CODFRCOFO01_FO Faradje 01,CODFRCOFO01,FO Faradje 01,3.719213,29.710666,Active,Democratic Republic of the Congo,office,009-80B33,009-80B33
Democratic Republic of the Congo_CODGBAOSO01_SO Gbadolite 01,CODGBAOSO01,SO Gbadolite 01,4.27612,21.00351,Active,Democratic Republic of the Congo,office,009-80B31,009-80B31
Democratic Republic of the Congo_CODGOMOSO01_SO Goma 01,CODGOMOSO01,SO Goma 01,-1.677871,29.220446,Active,Democratic Republic of the Congo,office,009-8091B,009-8091B
Democratic Republic of the Congo_CODKALOSO01_SO Kalemie 01,CODKALOSO01,SO Kalemie 01,-5.910473,29.207918,Active,Democratic Republic of the Congo,office,009-80E10,"009-808DE,009-80E10"
Democratic Republic of the Congo_CODKINOCO01_CO Kinshasa 01,CODKINOCO01,CO Kinshasa 01,-4.324783,15.299326,Active,Democratic Republic of the Congo,office,009-80E1C,"009-80B24,009-80E1C"
Democratic Republic of the Congo_CODKINOCO02_CO Kinshasa 02,CODKINOCO02,CO Kinshasa 02,-4.325448,15.276293,Active,Democratic Republic of the Congo,office,009-80B78,009-80B78
Democratic Republic of the Congo_CODKNGOSO01_SO Kananga 01,CODKNGOSO01,SO Kananga 01,-5.901245,22.405886,Active,Democratic Republic of the Congo,office,009-80E09,"009-80DB4,009-80E09"
Democratic Republic of the Congo_CODLIBOFO01_FO Libenge 01,CODLIBOFO01,FO Libenge 01,3.642589,18.629819,Active,Democratic Republic of the Congo,office,009-80B2F,009-80B2F
